Id,Prediction
0,4115366.63494
1,3293933.04677
2,4115366.63494
3,3924482.76351
4,4270987.743
5,4223307.50341
6,3379944.32587
7,4357252.25675
8,4378928.61147
9,3399233.81301
10,4045127.26823
11,4201631.14868
12,4378928.61147
13,4465193.12521
14,3328313.03774
15,4357252.25675
16,4430813.13424
17,4305367.73397
18,4293967.897
19,4200748.37629
20,3482846.62393
21,4328347.88797
22,4049674.92913
23,4430813.13424
24,4308975.60946
25,4120610.02421
26,3912829.69189
27,4357252.25675
28,4344548.6205
29,4973835.59663
30,4185404.63781
31,3265028.678
32,4172726.77991
33,4115366.63494
34,4201631.14868
35,3328313.03774
36,4114483.86254
37,4407112.05871
38,3218401.875
39,4045127.26823
40,4201631.14868
41,4236011.13966
42,4333551.18122
43,4223307.50341
44,4378928.61147
45,4270987.743
46,4039835.46317
47,3558377.7957
48,4200748.37629
49,4465193.12521
50,4275192.02618
51,4465193.12521
52,4430813.13424
53,4004572.6998
54,3848951.59174
55,4229836.56221
56,4465193.12521
57,4391632.24772
58,4166115.15067
59,4465193.12521
60,3419125.21239
61,4049674.92913
62,4270266.82147
63,3785230.18021
64,4149746.62591
65,4465193.12521
66,4465193.12521
67,5238280.34556
68,4391632.24772
69,4303397.4397
70,4039835.46317
71,3571081.43195
72,4045127.26823
73,3484816.9182
74,4465193.12521
75,4275192.02618
76,4357252.25675
77,4200748.37629
78,4465193.12521
79,4270987.743
80,4465193.12521
81,4132172.21149
82,4409671.67354
83,4113396.34067
84,4465193.12521
85,3218401.875
86,4010494.04261
87,3981842.90848
88,3644642.30944
89,4465193.12521
90,4465193.12521
91,3986390.56939
92,3218401.875
93,4391632.24772
94,4430813.13424
95,4465193.12521
96,4114483.86254
97,4309572.01715
98,4039835.46317
99,4229836.56221
100,3976114.05164
101,3345564.3349
102,4147179.92395
103,4113396.34067
104,3482846.62393
105,3293933.04677
106,4309572.01715
107,4149746.62591
108,4269017.44873
109,4236011.13966
110,4465193.12521
111,5180199.27906
112,4166368.38532
113,3605461.42292
114,3976551.10343
115,4166368.38532
116,4010494.04261
117,4391632.24772
118,3924482.76351
119,4345079.59052
120,4391632.24772
121,4391632.24772
122,4115366.63494
123,4465193.12521
124,4080103.87157
125,3981754.39667
126,4775093.96372
127,4039835.46317
128,3867426.48329
129,4491276.93628
130,3345564.3349
131,4740585.40042
132,4465193.12521
133,3426735.8517
134,4025113.38992
135,3014144.55937
136,4114483.86254
137,4185254.19928
138,4961949.29511
139,4236011.13966
140,4465193.12521
141,4113396.34067
142,4239676.02817
143,3355840.85265
144,4004572.6998
145,2983119.20924
146,4114483.86254
147,3091396.10372
148,4344548.6205
149,4080103.87157
150,4049674.92913
151,3644642.30944
152,4430813.13424
153,4575055.87217
154,3345564.3349
155,4465193.12521
156,4465193.12521
157,4357252.25675
158,3980871.62428
159,4074215.45414
160,4201631.14868
161,4113396.34067
162,3355840.85265
163,4200748.37629
164,4465193.12521
165,3644642.30944
166,4236011.13966
167,4357252.25675
168,3380197.56052
169,4357252.25675
170,4010747.27726
171,3848951.59174
172,3983094.80003
173,3644642.30944
174,4039835.46317
175,3542177.06317
176,4465193.12521
177,4200748.37629
178,3380381.37766
179,4045127.26823
180,4205296.03719
181,4039835.46317
182,4465193.12521
183,4351590.60704
184,3737561.99444
185,3976114.05164
186,3581357.9497
187,5164719.46806
188,4465193.12521
189,4378928.61147
190,4430813.13424
191,4391632.24772
192,4430813.13424
193,4357252.25675
194,3571081.43195
195,3605461.42292
196,4309572.01715
197,3484816.9182
198,4328347.88797
199,4115366.63494
200,3484816.9182
201,4391632.24772
202,4275192.02618
203,3644642.30944
204,4223307.50341
205,4195456.57123
206,3967498.18007
207,3673061.5405
208,3941288.34006
209,4039835.46317
210,4430813.13424
211,4270987.743
212,4344548.6205
213,3785230.18021
214,4465193.12521
215,3155117.51526
216,4305367.73397
217,4004572.6998
218,4201631.14868
219,4049674.92913
220,4465193.12521
221,4271518.71302
222,4430813.13424
223,4039835.46317
224,4200748.37629
225,4155078.49149
226,4465193.12521
227,4430813.13424
228,3924482.76351
229,5203900.35459
230,4270987.743
231,4430813.13424
232,4391632.24772
233,3605461.42292
234,4115366.63494
235,4391632.24772
236,3976114.05164
237,4039835.46317
238,4378928.61147
239,3815484.9475
240,4086462.26617
241,4050111.98093
242,4039835.46317
243,4594386.33487
244,3862878.82238
245,4465193.12521
246,4039835.46317
247,4391632.24772
248,4010494.04261
249,4275192.02618
250,3986390.56939
251,4344548.6205
